1,Бизнес планирование
2,Аэрофотоснимки
3,"Ввод и обработка графической атрибутивной, табличной, информации о местоположении инженерных коммуникаций"
4,"Ввод и обработка графической атрибутивной, табличной, информации о сети электронабжения"
5,"Ввод и обработка графической атрибутивной, табличной, информации о сети теплоснабжения"
6,"Ввод и обработка графической атрибутивной, табличной, информации о сети газоснабжения"
7,Познания в геодезии
8,Познания в топографии
9,Познания в географии
10,Познания в математике
11,Познания в информатике
12,Системное мышление
13,Межотраслевая коммуникация
14,Управление проетками
15,Экологическое мышление
16,Бережливое производство
17,Программирование
18,Робототехика
19,Исскуственный интеллект
20,Навыки работы в команде
21,Навыки работы со специализированным ПО
22,Технический кругозор
23,Навыки работы с программами для проведения расчетов
24,Познания в биологии
25,Грамотная письменная и устная речь
26,Навыки организации учебного процесса
27,Знание педагогики и психологии преподавания
28,"Навыки составления календарных планов, планов уроков"
29,Навыки проведения контроля знаний учеников
30,Подбор индивидуальной программы (составление заданий)
31,Уверенный пользователь ПК
32,Опыт классного руководительства
33,Использование современных методик проведения внеклассных занятий
34,Индивидуальный подход к ученикам
35,Знание делового этикета
36,"Навыки организации экскурсий, турпоходов"
37,Опыт ведения учебной документации
38,Английский Pre-intermediate
39,Познания в химии
40,Познания в физике
41,Методы проектирования и проведения технико-экономических расчетов
42,Проведение опытов
43,Написание технической документации
44,Машинное обучение и глубокое обучение
45,Работа с базами данных
46,Предобработка данных
47,Основы статистики
48,Волонтерство
49,Помощь малоимущим
50,Спонсорство 
51,Творческая деятельность 
52,Хороший вкус на моду
53,Организационные навыки
54,Познания в медицине
55,Познания в психологии
56,Знание технического оборудования
57,Знание вкусовых качеств блюд
58,Знание правил хранения продуктов
59,Знание кухонь мира
60,Познания в политике и политологии
61,Опыт управления хозяйством
62,Познания в ботанике
63,Работа с камерами для кино
64,Журналистика
65,Работа в программах для обработки видео и фото
66,Маркетинг и PR
67,Познания в литературе
68,Знание сценарного дела
69,Ведение переговоров
70,Навыки рисования 
71,Познания в искусстве
72,Познания в музыке
73,Познания в ПДД
74,Пилотирование воздушных средств
75,Знание техники безопасности
76,"Познания в скульптуре, навык работы с материалами"
77,Познания в анатомии
78,Планирование
79,Хостинг
80,ваып
81,"Работаю в Figma, Adobe After Effects, Invision, Adobe Illustrator, Power Point, Keynot, Tilda"
82,"Умею исследовать аудиторию, собирать CJM"
83,Создаю интерфейсы на основе ТЗ заказчика и результатов исследований
84,Разрабатываю и тестирую прототипы
85,Знаю основы HTML/CSS-верстки и JavaScript
86,"умею работать в Figma, Adobe illustrator, Adobe Photoshop, Invision, Adobe After Effects и Tilda"
87,могу сверстать адаптивный сайт с нуля
88,"могу провести конкурентный анализ, продумать концепцию и разработать позиционирование"
89,умею оформлять документацию проектов в разработку
90,"знаю, как работают основные метрики аналитики"
91,"Работаю в Figma, Photoshop, Illustrator, After Effects, InVision, Tilda"
92,Создаю фирменный стиль бренда и дизайн полиграфической продукции
93,"Проектирую сайты и знаю основы вёрстки (HTML, CSS, JS)"
94,Создаю дизайн-концепции и прототипы мобильных приложений
95,Могу провести конкурентный анализ и выявить потребности целевой аудитории
96,"Понимаю, как работать с метриками, и знаю гибкие методологии разработки"
97,"Работа в Photoshop, Unity, Construct 3, Blender 3D, GameMaker Studio 2, Aseprite, Spine"
98,Опыт работы с игровой графикой (примеры сделанных игр)
99,Умение рисовать в заданной стилистике проекта
100,Подготовка графики для встраивания в проект
101,"Написание тестовой документации: тест-планов, тест-кейсов, чек-листов, отчётов по тестированию"
102,Опыт работы с системами тест-менеджмента
103,Тестирование современных веб-приложений
104,Локализации дефектов. Работа с логами сервера. Работа на Linux-серверах в консоли
105,Работа со средствами автоматического тестирования (Selenium)
106,Умение пользоваться командной строкой (Linux)
107,Автоматизация рутинных проверок на UI с использованием Selenium Web Driver/Selenide. Построение автоматизированной отчётности
108,Составление SQL-запросов
109,Программирую на языке Ruby
110,Создаю веб-приложения и использованием Ruby on Rails
111,Покрываю приложение тестами и веду разработку через тестирование
112,Создаю базы данных и выполняю запросы к ней из приложения
113,Выполняю фоновые задачи через cron-задания и очереди
114,Выполняю задачи в условиях коллективной разработки
115,Разворачиваю приложения на сервере
116,Программирование на C#
117,Знание алгоритмов и структур данных
118,Работа в Unity
119,Написание «чистого» кода
120,Работа с анимациями
121,Методы оптимизации игр и приложений
122,Разработка мобильных и ПК-игр
123,Написание многопоточного кода
124,Создание многопользовательских игр
125,"Проектирование архитектуры, использование шаблонов singleton, adapter, factory, dependency injection и других"
126,Знание принципов и философии DevOps
127,Организация процессов непрерывной интеграции и доставки кода
128,Основы администрирования Windows Server и автоматизации с помощью PowerShell
129,Работа с облачными сервисами
130,"Работа с компьютерными сетями, знание Сisco Packet Tracer, Exterior Gateway Protocol (EGP), BGP. Interior Gateway Protocol (IGP), RIPv2"
131,Обеспечение стабильности и безопасности проводных и беспроводных сетей
132,Практика работы с современными методиками разработки ПО
133,"Методологии Agile, Scrum"
134,"Разработка диаграмм UML, BPMN, EPC,  IDEF0"
135,"Работа c ПО постановки задач: JIRA, Confluence"
136,Знание базовых принципов реляционных БД
137,"Опыт написания простых SQL-запросов, noSQL-запросов"
138,"Написание технической документации (ТЗ, инструкции)"
139,Понимание REST или SOAP
140,"Работа с xml, xsd-схемами, json, понимание основ http-запросов"
141,Работа с Use Cases и User Story
142,"Интеграция систем и документирование, тестирование API"
143,Frontend:
144,Разработка frontend-приложений на React
145,Семантическая верстка HTML5 + CSS3
146,React для SPA
